               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10071,            0.032853,                   0,                   0,                   0,                   0,                   0,             0.06298,            0.011111,                   0,           0.0032653,           0.0032653,            0.070612
                   1,            0.096075,            0.034517,                   0,                   0,                   0,                   0,                   0,            0.062848,              0.0109,                   0,           0.0065333,           0.0065333,            0.040547
                   2,            0.094418,            0.034417,                   0,                   0,                   0,                   0,                   0,            0.063715,            0.010601,                   0,           0.0097353,           0.0097353,            0.010416
                   3,            0.092514,            0.036078,                   0,           0.0035457,                   1,           0.0048068,          0.00048068,             0.06771,           0.0096892,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.088219,            0.037718,                   0,                   0,                   0,                   0,                   0,            0.057698,            0.013806,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.082266,             0.03795,                   0,                   0,                   0,                   0,                   0,            0.064916,            0.019072,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.076661,            0.037819,                   0,            0.043442,                   1,            0.043261,            0.012978,            0.049624,            0.061007,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.072255,            0.036806,                   0,           0.0051567,                   1,           0.0051823,          0.00051823,            0.063678,            0.011001,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.070188,            0.037229,                   0,             0.19942,                   1,               0.199,              0.0398,            0.035936,            0.028072,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.066625,            0.034825,                   0,                   0,                   0,                   0,                   0,            0.074844,           0.0056187,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.063551,            0.034912,                   0,           0.0041841,                   1,           0.0063376,           0.0019013,            0.064276,           0.0081871,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.061657,            0.033666,                   0,             0.33055,                   1,             0.33167,            0.066333,            0.050039,           0.0092198,                   0,             0.00901,             0.00901,             0.00901
